id,nrc_region,name
1,1,MaKaNa
2,1,WaMaNa
3,1,AhGaYa
4,1,TaNaNa
5,1,KhaPhaNa
6,1,SaLaNa
7,1,MaNyaNa
8,1,MaKaTa
9,1,PhaKaNa
10,1,BaMaNa
11,1,YaKaNa
12,1,MaMaNa
13,1,MaSaNa
14,1,PaTaNa
15,1,SaYaBa
16,1,MaKhaBa
17,1,KhaLaPha
18,1,NaMaNa
19,2,LaKaNa
20,2,DaMaSa
21,2,PhaYaSa
22,2,YaTaNa
23,2,BaLaKha
24,2,PhaSaNa
25,2,MaSaNa
26,3,PhaAhNa
27,3,LaBaNa
28,3,PhaPaNa
29,3,ThaTaKa
30,3,MaWaTa
31,3,KaKaYa
32,3,KaAhSa
33,4,PhaLaNa
34,4,HaKhaNa
35,4,HtaTaLa
36,4,TaTaNa
37,4,TaZaNa
38,4,MaTaNa
39,4,MaTaPa
40,4,KaPaLa
41,4,PaLaWa
42,5,SaKaNa
43,5,MaMaNa
44,5,KhaOuTa
45,5,KaBaLa
46,5,YaOuNa
47,5,TaSaNa
48,5,BaTaLa
49,5,KhaOuNa
50,5,KaNaNa
51,5,PaLaNa
52,5,AhTaNa
53,5,BaMaNa
54,5,WaThaNa
55,5,KaLaHta
56,5,MaKaNa
57,5,MaLaNa
58,5,KhaTaNa
59,5,LaYaNa
60,5,NaYaNa
61,5,MaMata
62,5,YaBaNa
63,5,WaLaNa
64,5,KaLaNa
65,5,DaPaYa
66,5,MaYaNa
67,5,AhYaTa
68,5,YaMaPa
69,5,SaLaKa
70,5,KaThaNa
71,5,HtaKaNa
72,5,KaLaTa
73,5,PaLaBa
74,5,KaLaWa
75,5,TaMaNa
76,5,PhaPaNa
77,5,HaMaLa
78,5,LaHaNa
79,6,HtaWaNa
80,6,MaMaNa
81,6,KaThaNa
82,6,LaLaNa
83,6,ThaYaKha
84,6,YaPhaNa
85,6,KaSaNa
86,6,PaLaNa
87,6,BaPaNa
88,6,TaNaTha
89,7,PaKhaTa
90,7,TaNgaNa
91,7,ThaNaPa
92,7,YaTaYa
93,7,KaWaNa
94,7,KaKaNa
95,7,WaMaNa
96,7,PhaMaNa
97,7,NyaLaPa
98,7,AhTaNa
99,7,KaTaKha
100,7,HtaTaPa
101,7,DaOuNa
102,7,PaMaNa
103,7,YaKaNa
104,7,PaKhaNa
105,7,PaTaNa
106,7,PaTaTa
107,7,ThaKaNa
108,7,YaTaNa
109,7,ThaWaTa
110,7,LaPaTa
111,7,MaLaNa
112,7,AhPhaNa
113,7,ZaKaNa
114,7,NaTaLa
115,7,MaNyaNa
116,7,KaPaKa
117,8,MaKaNa
118,8,YaNaKha
119,8,KhaMaNa
120,8,ThaYaNa
121,8,TaTaKa
122,8,MaLaNa
123,8,MaThaNa
124,8,MaTaNa
125,8,NaMaNa
126,8,KaMaNa
127,8,MaBaNa
128,8,AhLaNa
129,8,PaPhaNa
130,8,SaPaWa
131,8,PaKaKha
132,8,YaSaKa
133,8,MaMaNa
134,8,PaMaNa
135,8,NgaPhaNa
136,8,SaTaYa
137,8,SaLaNa
138,8,SaPhaNa
139,8,GaGaNa
140,8,HtaLaNa
141,8,SaMaNa
142,9,AhMaZa
143,9,MaHaMa
144,9,PaKaKha
145,9,PaThaKa
146,9,MaTaYa
147,9,MaKaNa
148,9,KaSaNa
149,9,MaThaNa
150,9,MaKhaNa
151,9,NaHtaKa
152,9,NgaZaNa
153,9,YaMaTha
154,9,MaHtaLa
155,9,ThaSaNa
156,9,KhaAhZa
157,9,KhaMaSa
158,9,AhMaYa
159,9,PaAhLa
160,9,SaKaNa
161,9,ThaPaKa
162,9,SaKaTa
163,9,TaTaOu
164,9,TaThaNa
165,9,KaPaTa
166,9,NyaOuNa
167,9,PaBaNa
168,9,MaLaNa
169,9,WaTaNa
170,9,PaMaNa
171,9,LaWaNa
172,10,AhLaMa
173,10,KaMaYa
174,10,KhaSaNa
175,10,ThaPhaYa
176,10,MaDaNa
177,10,YaMaNa
178,10,ThaHtaNa
179,10,PaMaNa
180,10,KaHtaNa
181,10,BaLaNa
182,11,SaTaNa
183,11,PaNaKa
184,11,MaOuNa
185,11,KaTaNa
186,11,MaPaNa
187,11,MaPaTa
188,11,PaTaNa
189,11,YaThaTa
190,11,MaTaNa
191,11,BaThaTa
192,11,KaPhaNa
193,11,MaAhNa
194,11,YaBaNa
195,11,AhMaNa
196,11,ThaTaNa
197,11,TaKaNa
198,11,GaMaNa
199,12,AhSaNa
200,12,MaBaNa
201,12,YaPaTha
202,12,ThaGaKa
203,12,BaTaHta
204,12,OuKaMa
205,12,OuKaTa
206,12,MaGaTa
207,12,KaTaTa
208,12,SaKaKha
209,12,LaMaTa
210,12,PaBaTa
211,12,BaHaNa
212,12,KaMaTa
213,12,DaGaTa
214,12,DaGaMa
215,12,DaGaYa
216,12,DaGaSa
217,12,AhLaNa
218,12,SaKaNa
219,12,MaYaKa
220,12,KaKaKa
221,12,KaTaNa
222,12,LaKaNa
223,12,TaKaNa
224,12,LaThaYa
225,12,YaKaNa
226,12,DaPaNa
227,12,ThaLaNa
228,12,KhaYaNa
229,12,DaLaNa
230,12,LaThaNa
231,12,DaGaNa
232,12,SaKhaNa
233,12,KaMaYa
234,12,KaKhaKa
235,12,MaGaDa
236,12,HtaTaPa
237,12,TaMaNa
238,12,PaZaTa
239,12,ThaKaTa
240,12,ThaKhaNa
241,12,TaTaNa
242,12,KaMaNa
243,12,LaMaNa
244,13,HaPaTa
245,13,HaPaNa
246,13,ThaNaNa
247,13,SaSaNa
248,13,ThaPaNa
249,13,KaLaNa
250,13,KaHaNa
251,13,KaLaTa
252,13,KaKhaNa
253,13,KaTaNa
254,13,KaMaNa
255,13,KaThaNa
256,13,KhaYaha
257,13,LaKhaNa
258,13,LaYaNa
259,13,LaKaNa
260,13,YaSaNa
261,13,LaLaNa
262,13,MaBaNa
263,13,MaTaTa
264,13,MaMaNa
265,13,MaPhaNa
266,13,MaSaNa
267,13,MaKaNa
268,13,MaKhaNa
269,13,MaMaTa
270,13,MaNaNa
271,13,MaPaNa
272,13,MaPaTa
273,13,MaTaNa
274,13,MaYaTa
275,13,MaNgaNa
276,13,MaSaTa
277,13,NaPhaNa
278,13,NaMaTa
279,13,NaKhaNa
280,13,NaSaNa
281,13,NaKhaTa
282,13,NaTaYa
283,13,NyaYaNa
284,13,PhaKhaNa
285,13,PaTaYa
286,13,PaLaNa
287,13,TaKhaLa
288,13,TaYaNa
289,13,TaKaNa
290,13,TaLaNa
291,13,TaMaNya
292,13,TaTaNa
293,13,YaNgaNa
294,13,YaNyaNa
295,14,PaThaNa
296,14,KaKaHta
297,14,ThaPaNa
298,14,NgaPaTa
299,14,KaPaNa
300,14,YaKaNa
301,14,KaKaNa
302,14,HaThaTa
303,14,ZaLaNa
304,14,LaMaNa
305,14,MaAhNa
306,14,KaKhaNa
307,14,AhGaPa
308,14,MaMaNa
309,14,AhMaNa
310,14,WaKhaMa
